"llhb","43","00390000.tif","10","1","h","","H.R. 15","1807-12-07","Read the first and second time, and committed to a committee of the whole House, on Wednesday next. A Bill, For the relief of Oliver Evans.","Committee of the Whole House"
"llhb","43","00400000.tif","10","1","h","","H.R. 16","1807-12-08","Read the first and second time, and committed to a committee of the whole House, on Thursday next. A Bill, Supplementary to the act, intituled ''An act to prohibit the importation of certain goods, wares and merchandise.''","Committee of the Whole House"
"llhb","43","00410002.tif","10","1","h","2","H.R. 16","1807-12-08","",""
"llhb","43","00420000.tif","10","1","h","","H.R. 17","1807-12-09","Read the first and second time, and committed to a committee of the whole House, on Monday next. A Bill, Making further provision for the disposal of the sections of land heretofore reserved for the future disposition of congress.","Committee of the Whole House"
"llhb","43","00430000.tif","10","1","h","","H.R. 18","1807-12-18","Read the first and second time, and committed to a committee of the whole House, on Monday next. A Bill, To extend certain privileges as therein mentioned to Anthony Boucherie.","Committee of the Whole House"
"llhb","43","00440000.tif","10","1","h","","H.R. 19","1807-12-18","Read the first and second time, and committed to a committee of the whole House, on Monday next. A Bill, For incorporating the associate reformed church in the city of Washington.","Committee of the Whole House"
"llhb","43","00450002.tif","10","1","h","2","H.R. 19","1807-12-18","",""
"llhb","43","00460003.tif","10","1","h","3","H.R. 19","1807-12-18","",""
"llhb","43","00470004.tif","10","1","h","4","H.R. 19","1807-12-18","",""
"llhb","43","00480000.tif","10","1","h","","H.R. 20","1807-12-22","Read the first and second time, and committed to a committee of the whole House, on Monday next. A Bill, Making provision for extinguishing the debts due from the United States.","Committee of the Whole House"
"llhb","43","00490002.tif","10","1","h","2","H.R. 20","1807-12-22","",""
"llhb","43","00500003.tif","10","1","h","3","H.R. 20","1807-12-22","",""
"llhb","43","00510004.tif","10","1","h","4","H.R. 20","1807-12-22","",""
"llhb","43","00520000.tif","10","1","h","","H.R. 21","1807-12-22","Read the first and second time, and committed to a committee of the whole House, to whom was this day committed the report of a select committee on the letters and reports from the commissioners under the act for the relief of the refugees from the British provinces of Canada and Nova Scotia. A Bill, Supplementary to the act, intituled ''An act regulating the grants of land appropriated for the refugees from the British provinces of Canada and Nova Scotia.''","Committee of the Whole House"
"llhb","43","00530000.tif","10","1","h","","H.R. 22","1807-12-23","Read the first and second time, and committed to a committee of the whole House, on Friday next. A Bill, Making appropriations for the support of government during the year one thousand eight hundred and eight.","Committee of the Whole House"
"llhb","43","00540002.tif","10","1","h","2","H.R. 22","1807-12-23","",""
"llhb","43","00550003.tif","10","1","h","3","H.R. 22","1807-12-23","",""
"llhb","43","00560004.tif","10","1","h","4","H.R. 22","1807-12-23","",""
"llhb","43","00570005.tif","10","1","h","5","H.R. 22","1807-12-23","",""
"llhb","43","00580006.tif","10","1","h","6","H.R. 22","1807-12-23","",""
"llhb","43","00590007.tif","10","1","h","7","H.R. 22","1807-12-23","",""
"llhb","43","00600008.tif","10","1","h","8","H.R. 22","1807-12-23","",""
"llhb","43","00610009.tif","10","1","h","9","H.R. 22","1807-12-23","",""
"llhb","43","00620010.tif","10","1","h","10","H.R. 22","1807-12-23","",""
"llhb","43","00630011.tif","10","1","h","11","H.R. 22","1807-12-23","",""
"llhb","43","00640012.tif","10","1","h","12","H.R. 22","1807-12-23","",""
"llhb","43","00650013.tif","10","1","h","13","H.R. 22","1807-12-23","",""
"llhb","43","00660000.tif","10","1","h","","H.R. 23","1807-12-23","Read the first and second time, and committed to a committee of the whole House, on Monday next. A Bill, For incorporating the Protestant Episcopal church of the town of Alexandria, in the district of Columbia.","Committee of the Whole House"
"llhb","43","00670002.tif","10","1","h","2","H.R. 23","1807-12-23","",""
"llhb","43","00680003.tif","10","1","h","3","H.R. 23","1807-12-23","",""
"llhb","43","00690004.tif","10","1","h","4","H.R. 23","1807-12-23","",""
"llhb","43","00700005.tif","10","1","h","5","H.R. 23","1807-12-23","",""
"llhb","43","00710006.tif","10","1","h","6","H.R. 23","1807-12-23","",""
"llhb","43","00720000.tif","10","1","h","","H.R. 24","1807-12-23","Read the first and second time, and committed to a committee of the whole House, on Monday next. A Bill, For amending the ordinance for the government of the North Western territory, passed the 13th July, 1787.","Committee of the Whole House"
"llhb","43","00730000.tif","10","1","h","","H.R. 25","1807-12-24","Read the first and second time, and committed to a committee of the whole House, on Monday next. A Bill, To continue in force for a limited time an act, intituled ''An act continuing for a limited time the salaries of the officers of government therein mentioned.''","Committee of the Whole House"
"llhb","43","00740000.tif","10","1","h","","H.R. 26","1807-12-29","A Bill, Supplementary to the act, entitled ''Ac act laying an embargo on all ships and vessels in the ports and harbors of the United States.''",""
"llhb","43","00750002.tif","10","1","h","2","H.R. 26","1807-12-29","",""
"llhb","43","00760003.tif","10","1","h","3","H.R. 26","1807-12-29","",""
"llhb","43","00770000.tif","10","1","h","","H.R. 27","1807-12-29","Read the first and second time, and committed to a committee of the whole House, to-morrow. A Bill, Continuing in force for a further time the first section of the act, intituled ''An act further to protect the commerce and seamen of the United States against the Barbary powers.''","Committee of the Whole House"
"llhb","43","00780000.tif","10","1","h","","H.R. 28","1808-01-02","Read the first and second time, and committed to a committee of the whole House, on Wednesday next. A Bill, To amend the several acts, more effectually to provide for the national defence, by the militia of the United States.","Committee of the Whole House"
"llhb","43","00790002.tif","10","1","h","2","H.R. 28","1808-01-02","",""
"llhb","43","00800003.tif","10","1","h","3","H.R. 28","1808-01-02","",""
"llhb","43","00810004.tif","10","1","h","4","H.R. 28","1808-01-02","",""
"llhb","43","00820000.tif","10","1","h","","H.R. 29","1808-01-09","Read the first and second time, and committed to a committee of the whole House, on Monday next. A Bill, Making additional compensation to the marshals for the districts of North Carolina and New Jersey.","Committee of the Whole House"
"llhb","43","00830000.tif","10","1","h","","H.R. 31","1808-01-12","Read the first and second time, and committed to a committee of the whole house on Friday next. A Bill, To amend the act, entitled ''an act to incorporate the inhabitants of the city of Washington, in the district of Columbia.","Committee of the Whole House"
"llhb","43","00840002.tif","10","1","h","2","H.R. 31","1808-01-12","",""
"llhb","43","00850003.tif","10","1","h","3","H.R. 31","1808-01-12","",""
