"llhb","21","00010000.tif","7","2","h","","1","1802-12-20","Read the first and second time, and committed to a Committee of the whole House on Thursday next. A Bill, For the relief of Insolvent Debtors within the District of Columbia.","Committee of the Whole House"
"llhb","21","00020002.tif","7","2","h","2","1","1802-12-20","",""
"llhb","21","00030003.tif","7","2","h","3","1","1802-12-20","",""
"llhb","21","00040004.tif","7","2","h","4","1","1802-12-20","",""
"llhb","21","00050005.tif","7","2","h","5","1","1802-12-20","",""
"llhb","21","00060006.tif","7","2","h","6","1","1802-12-20","",""
"llhb","21","00070007.tif","7","2","h","7","1","1802-12-20","",""
"llhb","21","00080008.tif","7","2","h","8","1","1802-12-20","",""
"llhb","21","00090000.tif","7","2","h","","2","1802-12-21","Read the first and second time, and committed to a Committee of the whole House To-morrow. A Bill, To allow a drawback of duties on goods exported to New Orleans; and therein to amend the act intituled ''An act to regulate the collection of duties on imports and tonnage.''","Committee of the Whole House"
"llhb","21","00100000.tif","7","2","h","","3","1803-01-03","Read the first and second time, and ordered to be committed to a Committee of the whole House To-morrow. A Bill, Making a partial appropriation for the Naval service, during the year one thousand eight hundred and three.","Committee of the Whole House"
"llhb","21","00110000.tif","7","2","h","","4","1803-01-03","Read the first and second time, and ordered to be committed to a Committee of the whole House To-morrow. A Bill, Making appropriations for the Military establishment of the United States, in the year one thousand eight hundred and three.","Committee of the Whole House"
"llhb","21","00120002.tif","7","2","h","2","4","1803-01-03","",""
"llhb","21","00130000.tif","7","2","h","","5","1803-01-11","Read the first and second time, and ordered to be committed to a Committee of the whole House on Thursday next. A Bill, For the relief of Insolvent Debtors, within the District of Columbia.","Committee of the Whole House"
"llhb","21","00140002.tif","7","2","h","2","5","1803-01-11","",""
"llhb","21","00150003.tif","7","2","h","3","5","1803-01-11","",""
"llhb","21","00160004.tif","7","2","h","4","5","1803-01-11","",""
"llhb","21","00170005.tif","7","2","h","5","5","1803-01-11","",""
"llhb","21","00180006.tif","7","2","h","6","5","1803-01-11","",""
"llhb","21","00190007.tif","7","2","h","7","5","1803-01-11","",""
