"llsr","19","00010000.tif","19","1","s","","S. 4","1826-01-24","Mr. Bell, from the Joint Committee, appointed on the subject, reported the following Resolution; which was read, and passed to a second reading: Joint Resolution To provide for the care and preservation of the Capitol, and Capitol Square, in the City of Washington.",""
"llsr","19","00020002.tif","19","1","s","2","S. 4","1826-01-24","",""
